id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement,nb_rapports_inspection
5206070,CC LES RIVES DE LA LAURENCE,CC LES RIVES DE LA LAURENCE,,CC LES RIVES DE LA LAURENCE,33433,Saint-Loubès,243301249,CC Les Rives de la Laurence,"44.92661, -0.457049","{""coordinates"": [-0.457049, 44.92661], ""type"": ""Point""}",1032,24330124900054,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206070,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37,2025-12-12T00:00:00+01:00,2025,1
53320828,EARL ROUSSELON ET FILS,EARL ROUSSELON ET FILS,,EARL ROUSSELON ET FILS,33231,Laroque,200069581,CC Convergence Garonne,"44.660067, -0.302024","{""coordinates"": [-0.302024, 44.660067], ""type"": ""Point""}",2369,39103808000019,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
5200628,ESSO - Bruges (N°I),ESSO,Bruges (N°I),ESSO — Bruges (N°I),33075,Bruges,243300316,Bordeaux Métropole,"44.878632, -0.583979","{""coordinates"": [-0.583979, 44.878632], ""type"": ""Point""}",560,52959506800014,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,2025-02-10T00:00:00+01:00,2025,0
53324888,LE MAS DES BOUILLES A BISES,LE MAS DES BOUILLES A BISES,Abzac — 22 TRIPOTEAU,LE MAS DES BOUILLES A BISES — Abzac — 22 TRIPOTEAU,33001,Abzac,200070092,CA du Libournais,"45.007961, -0.126743","{""coordinates"": [-0.126743, 45.007961], ""type"": ""Point""}",2469,51509701200014,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053324888,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,01,2026-03-02T00:00:00+01:00,2026,1
53326609,EARL DENIS DUBOURDIEU DOMAINES,EARL DENIS DUBOURDIEU DOMAINES,Barsac,EARL DENIS DUBOURDIEU DOMAINES — Barsac,33030,Barsac,200069581,CC Convergence Garonne,"44.591722, -0.330542","{""coordinates"": [-0.330542, 44.591722], ""type"": ""Point""}",2582,38779970300021,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053326609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-03-12T00:00:00+01:00,2025,0
53325103,LE BLASON DE MANDRIN/POILS AUX PATTES,LE BLASON DE MANDRIN/POILS AUX PATTES,,LE BLASON DE MANDRIN/POILS AUX PATTES,33401,Sainte-Florence,243301454,CC Castillon/Pujols,"44.81516, -0.090821","{""coordinates"": [-0.090821, 44.81516], ""type"": ""Point""}",2509,47898341400010,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2026-03-02T00:00:00+01:00,2026,0
100301485,REGION NOUVELLE-AQUITAINE,REGION NOUVELLE-AQUITAINE,,REGION NOUVELLE-AQUITAINE,33522,Talence,243300316,Bordeaux Métropole,"44.801212, -0.595725","{""coordinates"": [-0.595725, 44.801212], ""type"": ""Point""}",2872,20005375900011,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0100301485,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,84,2026-01-27T00:00:00+01:00,2026,0
5209674,Hôpital Suburbain du Bouscat,Hôpital Suburbain du Bouscat,,Hôpital Suburbain du Bouscat,33069,Le Bouscat,243300316,Bordeaux Métropole,"44.86953, -0.601763","{""coordinates"": [-0.601763, 44.86953], ""type"": ""Point""}",1565,33785791600015,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005209674,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,86,2025-02-10T00:00:00+01:00,2025,0
100022121,ECOFIELD,ECOFIELD,Bassens,ECOFIELD — Bassens,33032,Bassens,243300316,Bordeaux Métropole,"44.91614, -0.534599","{""coordinates"": [-0.534599, 44.91614], ""type"": ""Point""}",2681,90755158400028,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0100022121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-04-01T00:00:00+02:00,2025,2
5200825,ONYX AQUITAINE,ONYX AQUITAINE,,ONYX AQUITAINE,33208,Jau-Dignac-et-Loirac,200070720,CC Médoc Atlantique,"45.407589, -0.965177","{""coordinates"": [-0.965177, 45.407589], ""type"": ""Point""}",646,46420237300013,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200825,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025,0
5206962,BAXI FRANCE,BAXI FRANCE,,BAXI FRANCE,33318,Pessac,243300316,Bordeaux Métropole,"44.781447, -0.644559","{""coordinates"": [-0.644559, 44.781447], ""type"": ""Point""}",1161,49153799900147,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,93,2025-02-10T00:00:00+01:00,2025,0
5200940,ONYX Martignas,ONYX Martignas,,ONYX Martignas,33273,Martignas-sur-Jalle,243300316,Bordeaux Métropole,"44.850854, -0.763622","{""coordinates"": [-0.763622, 44.850854], ""type"": ""Point""}",684,,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200940,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2026-03-17T00:00:00+01:00,2026,0
5211529,STI FRANCE (PRODEC METAL),STI FRANCE (PRODEC METAL),,STI FRANCE (PRODEC METAL),33281,Mérignac,243300316,Bordeaux Métropole,"44.842427, -0.722997","{""coordinates"": [-0.722997, 44.842427], ""type"": ""Point""}",1641,47220047600076,NON_ICPE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211529,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025,2
53321502,SOCIETE BORIE-MANOUX,SOCIETE BORIE-MANOUX,,SOCIETE BORIE-MANOUX,33063,Bordeaux,243300316,Bordeaux Métropole,"44.860985, -0.563274","{""coordinates"": [-0.563274, 44.860985], ""type"": ""Point""}",2453,46520269500016,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053321502,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,2025-03-12T00:00:00+01:00,2025,0
53325792,SCEA VIGNOBLE DE MARQUET,SCEA VIGNOBLE DE MARQUET,,SCEA VIGNOBLE DE MARQUET,33073,Braud-et-Saint-Louis,243300811,CC de l'Estuaire,"45.238619, -0.612762","{""coordinates"": [-0.612762, 45.238619], ""type"": ""Point""}",2526,40112668500023,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053325792,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-03-12T00:00:00+01:00,2025,0
3102661,GTPP (Gironde Travaux Publics & Part ),GTPP (Gironde Travaux Publics & Part ),,GTPP (Gironde Travaux Publics & Part ),33381,Saint-Caprais-de-Bordeaux,243301439,CC des Portes de l'Entre-Deux-Mers,"44.769799, -0.437171","{""coordinates"": [-0.437171, 44.769799], ""type"": ""Point""}",103,48422584200042,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102661,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,08,2025-05-20T00:00:00+02:00,2025,0
5213824,EARL ROBERT SEIZE,EARL ROBERT SEIZE,,EARL ROBERT SEIZE,33261,Lussac,200035533,CC du Grand Saint Emilionnais,"44.967807, -0.091386","{""coordinates"": [-0.091386, 44.967807], ""type"": ""Point""}",2076,43946090800015,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213824,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,01,2025-02-10T00:00:00+01:00,2025,0
53316790,CHATEAU DU SEUIL,CHATEAU DU SEUIL,,CHATEAU DU SEUIL,33120,Cérons,200069581,CC Convergence Garonne,"44.628761, -0.342296","{""coordinates"": [-0.342296, 44.628761], ""type"": ""Point""}",2223,35065171700018,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053316790,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-03-27T00:00:00+01:00,2025,0
53320813,SOC CIVILE AGRICOLE DOMAINE LA GRAVE,SOC CIVILE AGRICOLE DOMAINE LA GRAVE,,SOC CIVILE AGRICOLE DOMAINE LA GRAVE,33225,Landiras,200069581,CC Convergence Garonne,"44.587653, -0.437443","{""coordinates"": [-0.437443, 44.587653], ""type"": ""Point""}",2367,34838015500013,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320813,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-03-12T00:00:00+01:00,2025,0
5201015,SIORAT - Mios,SIORAT,Mios,SIORAT — Mios,33284,Mios,243301504,CA du Bassin d'Arcachon Nord (COBAN),"44.626721, -0.850238","{""coordinates"": [-0.850238, 44.626721], ""type"": ""Point""}",712,67682013700054,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201015,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,42,2025-02-10T00:00:00+01:00,2025,0
