codeAiot;raisonSociale;"adresse1";"adresse2";"adresse3";codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url
"0005200361";"SIAP-SARP INDUSTRIES AQUITAINE PYRENEES";"Boulevard de l'Industrie";"Z.I.";;"33530";"33032";Bassens;"38";"34354136300010";421513;6429168;"2154";-0.529362;44.90568;false;false;false;false;false;true;true;"Non Seveso";true;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200361"
"0005211411";COREP;"rue Radio Londres";;;"33130";"33039";Bègles;"46";"47120040200041";419830;6416913;"2154";-0.543697;44.794777;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En exploitation avec titre";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211411"
"0100051087";"PROD COMPOSITES PISCINE";"52, rue Alphonse Daudet";;"Seine-et-Marne";"33660";"33478";"Saint-Seurin-sur-l'Isle";"22";"51509229400039";462034;6439821;"2154";-0.021532;45.016644;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100051087"
"0005212287";"JEANNEAU SAS";"Lieu dit La Dauphine";"BP 6";;"33620";"33233";Laruscade;"68";"80046790400010";437402;6452618;"2154";-0.340808;45.122841;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212287"
"0005206331";"RIVOT Jean-Michel";"Lieu-dit Les Deux Poteaux Sud";"20 rue de l'Argonne";;"33689";"33281";Mérignac;"56";"30069489000041";405885;6419406;"2154";-0.721309;44.811424;false;false;false;false;false;true;false;"Non Seveso";false;"DREAL NA";"En fin d'exploitation";Enregistrement;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206331"
"0005211820";"SIGNOLLE PIERRE";"42 RTE DE LANDAT";"CHATEAU VIEUX LANDAT";;"33250";"33125";"Cissac-Médoc";"01";"39189865700021";397994;6464831;"2154";-0.848989;45.216546;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211820"
"0053321240";"SCEA PONTALLIER ET FILS";;"2      LAUBERTRIE - SALIGNAC";;"33240";"33018";"Val de Virvée";"01";"48051723400013";434648;6441129;"2154";-0.369569;45.018435;false;false;false;false;false;false;false;;false;"DDPP 33";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0053321240"
"0005200847";"LANGON DISTRIBUTION (LECLERC)";"Petiteau Ouest";Moléon;;"33210";"33227";Langon;"47";"39092317500025";441877;6389457;"2154";-0.250879;44.556361;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200847"
"0003104791";USEDCARS;"cote de la Garonne";;;"33310";"33249";Lormont;;"48373092500029";422427;6426028;"2154";-0.516023;44.877805;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003104791"
"0053320961";"EARL CHRISTIAN GEROMIN";"2 TUDIN";;;"33790";"33316";Pellegrue;"01";"43905725800014";470000;6408488;"2154";0.094156;44.73743;false;false;false;false;false;false;false;;false;"DDPP 33";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0053320961"
"0005206754";"AXEL VEGA";"Patinoire de Mériadeck";"95, Cours du Mal Juin";;"33000";"33063";Bordeaux;"93";"41374835100025";416560;6421523;"2154";-0.587648;44.83491;false;false;false;false;false;false;false;;false;"DREAL NA";;"Autres régimes";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005206754"
"0100311490";"KAN'MOOV";"1 CHE DE LA DIE";"LIEU DIT LA GRANDE LABOUE";;"33460";"33262";Macau;"77";"90900598500017";416794;6439201;"2154";-0.59487;44.994006;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0100311490"
"0005200812";ARIANEGROUP;"Les Cinq Chemins,";"Rue de Touban";;"33185";"33200";"Le Haillan";"94";"51903224700099";408626;6425726;"2154";-0.690414;44.86942;false;false;false;false;false;true;true;"Non Seveso";false;"DREAL NA";"En exploitation avec titre";Autorisation;"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200812"
"0003106067";"CENTRE AUTO SAINT MARIENS";"Za Du Pont De Cotet, 5 Rue de Tessonneau";;;"33620";"33439";"Saint-Mariens";;;431683;6452394;"2154";-0.413353;45.118624;false;false;false;false;false;false;false;;false;"DREAL NA";;"Non ICPE";"https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106067"
