codeAiot;raisonSociale;adresse1;adresse2;adresse3;codePostal;codeInsee;commune;codeNaf;numeroSiret;coordonneeX;coordonneeY;systemeCoordonnees;longitude;latitude;bovins;porcs;volailles;carriere;eolienne;industrie;prioriteNationale;statutSeveso;ied;serviceAiot;etatActivite;regimeVigueur;url;structure;etablissement;libelle_complet;nom_commune;epci_siren;epci_nom
0100005915;SCEA CHATEAU SEGONZAC;CHATEAU SEGONZAC;CHATEAU SEGONZAC;;33390;33405;Saint-Genès-de-Blaye;01;37989284700011;412597;6457209;2154;-0.658653;45.154242;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100005915;SCEA CHATEAU SEGONZAC;;SCEA CHATEAU SEGONZAC;Saint-Genès-de-Blaye;200023794;CC de Blaye
0005201356;DUPHIL;13, avenue du general leclerc;;;33115;33529;La Teste-de-Buch;56;45411327500019;371190;6402015;2154;-1.147975;44.63949;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201356;DUPHIL;;DUPHIL;La Teste-de-Buch;243300563;CA Bassin d'Arcachon Sud (COBAS)
0005200629;VOLVO AQUITAINE;;;;33520;33075;Bruges;;39282058500124;414923;6427708;2154;-0.611918;44.889867;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200629;VOLVO AQUITAINE;;VOLVO AQUITAINE;Bruges;243300316;Bordeaux Métropole
0003104883;DUBNER SCI;21 route de la Rotonde;Port du Nouguey;;33500;33015;Arveyres;;30760423100026;440670;6425720;2154;-0.285052;44.882105;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003104883;DUBNER SCI;;DUBNER SCI;Arveyres;200070092;CA du Libournais
0005211877;CHATEAU LYNCH MOUSSAS;Lieudit Landes du Haut de Lille Section D;parcelle 248;;33250;33314;Pauillac;01;33487265200014;404601;6462414;2154;-0.763446;45.197675;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005211877;CHATEAU LYNCH MOUSSAS;;CHATEAU LYNCH MOUSSAS;Pauillac;200069995;CC Médoc Coeur de Presqu'île
0005207837;MAIRIE - St Vivien de Médoc;Peyrat;;;33590;33541;Vensac;;;383898;6485853;2154;-1.042036;45.399261;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207837;MAIRIE - St Vivien de Médoc;;MAIRIE - St Vivien de Médoc;Vensac;200070720;CC Médoc Atlantique
0005207542;MAIRIE - Pujols sur Ciron;Le Pingua;;;33210;33343;Pujols-sur-Ciron;;;433566;6390561;2154;-0.356017;44.563162;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207542;MAIRIE - Pujols sur Ciron;;MAIRIE - Pujols sur Ciron;Pujols-sur-Ciron;200069581;CC Convergence Garonne
0005207252;GMTP - GIMENO;;;;33540;33131;Coirac;;;449008;6403654;2154;-0.168337;44.686675;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207252;GMTP;GIMENO — Coirac;GMTP — GIMENO — Coirac;Coirac;200069599;CC Rurales de l'Entre-Deux-Mers
0100015347;Château Puyfaure Le Roc;PUYFAURE;;;33240;33018;Val de Virvee;01;44066229400014;432998;6441449;2154;-0.39067;45.020678;false;false;false;false;false;false;false;;false;DDPP 33;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100015347;Château Puyfaure Le Roc;;Château Puyfaure Le Roc;Val de Virvée;243301223;CC du Grand Cubzaguais
0005200966;AEROPORT DE BORDEAUX-MERIGNAC;;;;33689;33281;Mérignac;52;18330002900034;407444;6421542;2154;-0.702879;44.831294;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200966;AEROPORT DE BORDEAUX-MERIGNAC;;AEROPORT DE BORDEAUX-MERIGNAC;Mérignac;243300316;Bordeaux Métropole
0005200811;FORTIN RENE;;;;33185;33200;Le Haillan;;44139360000016;409584;6426098;2154;-0.678517;44.873168;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200811;FORTIN RENE;;FORTIN RENE;Le Haillan;243300316;Bordeaux Métropole
0053317608;SCEA VIGNOBLES GARZARO;39/43 Route de Branne;Château Le Prieur;;33750;33028;Baron;01;42222655500015;436787;6420409;2154;-0.331345;44.832866;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053317608;SCEA VIGNOBLES GARZARO;;SCEA VIGNOBLES GARZARO;Baron;243301215;CC du Créonnais
0053300718;SOCIETE COOPERATIVE AGRICOLE UNIVITIS;AVENUE DU MARECHAL LECLERC;;;33220;33242;Les Lèves-et-Thoumeyragues;11;33055838800014;476796;6414629;2154;0.177171;44.7949;false;false;false;false;false;true;false;Non Seveso;false;DDPP 33;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053300718;SOCIETE COOPERATIVE AGRICOLE UNIVITIS;Les Lèves-et-Thoumeyragues — AVENUE DU MARECHAL LECLERC;SOCIETE COOPERATIVE AGRICOLE UNIVITIS — Les Lèves-et-Thoumeyragues — AVENUE DU MARECHAL LECLERC;Les Lèves-et-Thoumeyragues;243301371;CC du Pays Foyen
0003106717;BLANCHISSERIE GIRONDINE (ex MONTES);116, avenue de Beutre;;;33600;33318;Pessac;96;41750430500018;409595;6417092;2154;-0.673075;44.792177;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106717;BLANCHISSERIE GIRONDINE (ex MONTES);;BLANCHISSERIE GIRONDINE (ex MONTES);Pessac;243300316;Bordeaux Métropole
0005213416;COBAN - Déchetterie;Lieu dit Bois de caudet;;;33380;33051;Biganos;;24330150400102;385726;6403919;2154;-0.966122;44.663329;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005213416;COBAN;Déchetterie — Biganos;COBAN — Déchetterie — Biganos;Biganos;243301504;CA du Bassin d'Arcachon Nord (COBAN)
0005212431;EARL VIGNOBLES DUTHEILLET;LD FONFROIDE;;;33890;33133;Coubeyrac;01;38528055700013;467231;6413416;2154;0.056885;44.780843;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005212431;EARL VIGNOBLES DUTHEILLET;;EARL VIGNOBLES DUTHEILLET;Coubeyrac;243301454;CC Castillon/Pujols
0003102062;SC CHATEAU GANTONNET;MOULIN DE LABORDES;;;33350;33468;Sainte-Radegonde;01;32144651000018;464810;6416238;2154;0.024959;44.805416;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102062;SC CHATEAU GANTONNET;;SC CHATEAU GANTONNET;Sainte-Radegonde;243301454;CC Castillon/Pujols
0005214189;CAVE COOPERATIVE - Génissac;;;;33420;33185;Génissac;;78190047700014;442512;6423044;2154;-0.260347;44.85872;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005214189;CAVE COOPERATIVE;Génissac;CAVE COOPERATIVE — Génissac;Génissac;200070092;CA du Libournais
0100034279;HUILERIE G I D;1 Lieu Dit Lapouyade;--;;33230;33447;Saint-Médard-de-Guizières;;59575098500011;457902;6440119;2154;-0.074092;45.017889;false;false;false;false;false;false;false;;false;UD 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100034279;HUILERIE G I D;;HUILERIE G I D;Saint-Médard-de-Guizières;200070092;CA du Libournais
0053314649;SA CHATEAU LASCOMBES;;CHATEAUX LASCOMBES;;33460;33268;Margaux-Cantenac;01;34438884800048;410045;6444653;2154;-0.683642;45.040243;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0053314649;SA CHATEAU LASCOMBES;;SA CHATEAU LASCOMBES;Margaux-Cantenac;243301447;CC Médoc Estuaire
0003102916;SC LA TOUR FIGEAC;DOMAINE DE LA TOUR FIGEAC;BP 7;;33330;33394;Saint-Émilion;01;30436725300016;447416;6429166;2154;-0.201461;44.915599;false;false;false;false;false;false;false;;false;DDPP 33;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003102916;SC LA TOUR FIGEAC;;SC LA TOUR FIGEAC;Saint-Émilion;200035533;CC du Grand Saint Emilionnais
0100014366;TONNELLERIE QUINTESSENCE;13 RTE DE CANTELOUP;ZA DU BOS PLAN;;33750;33049;BEYCHAC-ET-CAILLAU;16;82030081200014;434423;6425906;2154;-0.364192;44.881411;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100014366;TONNELLERIE QUINTESSENCE;;TONNELLERIE QUINTESSENCE;Beychac-et-Caillau;243301249;CC Les Rives de la Laurence
0100041873;SEAC;104 RUE GAY LUSSAC;;;33127;33422;Saint-Jean-d'Illac;;62080058100295;403698;6419021;2154;-0.748708;44.807031;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100041873;SEAC;;SEAC;Saint-Jean-d'Illac;243301165;CC Jalle-Eau-Bourde
0100059024;D&P GREEN;3 RUE ABBE MESLIER;;;33680;33333;Le Porge;20;80035100900017;378069;6428184;2154;-1.078386;44.877996;false;false;false;false;false;false;false;;false;DREAL NA;;Non ICPE;https://www.georisques.gouv.fr/risques/installations/donnees/details/0100059024;D&P GREEN;;D&P GREEN;Le Porge;243301389;CC Médullienne
0003106665;EQUIBIO PAYS DE BUCH (cap vert énergie);Lieu-dit du Hourquet;;;33380;33284;Mios;;;391000;6398500;2154;-0.896302;44.616967;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En exploitation avec titre;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003106665;EQUIBIO PAYS DE BUCH (cap vert énergie);;EQUIBIO PAYS DE BUCH (cap vert énergie);Mios;243301504;CA du Bassin d'Arcachon Nord (COBAN)
0003107008;VDLV;2 chemin des Arestieux;;;33610;33122;Cestas;20;75085581900033;404900;6409700;2154;-0.72796;44.723719;false;false;false;false;false;false;false;;false;DREAL NA;;Autres régimes;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107008;VDLV;;VDLV;Cestas;243301165;CC Jalle-Eau-Bourde
0005207545;MAIRIE - Soussans;Boston;;;33460;33517;Soussans;;21330517000010;408878;6446487;2154;-0.699537;45.056247;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Autorisation;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005207545;MAIRIE - Soussans;;MAIRIE - Soussans;Soussans;243301447;CC Médoc Estuaire
0003107049;CIORBEA Petru;34 Pierrefitte;;;33330;33480;Saint-Sulpice-de-Faleyrens;45;53771565800028;447187;6425905;2154;-0.202685;44.886179;false;false;false;false;false;true;false;Non Seveso;false;DREAL NA;En fin d'exploitation;Enregistrement;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003107049;CIORBEA Petru;;CIORBEA Petru;Saint-Sulpice-de-Faleyrens;200035533;CC du Grand Saint Emilionnais
