codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005200812";"4130";"Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation";"2.a";Autorisation;"17.360";t;"24/10/2016"
"0005200812";"2575";"Emploi de matières abrasives";;Déclaration;"83.500";kW;"24/10/2016"
"0005200812";"2660";"Supérieure à 10 t/j";a;Autorisation;;;"24/10/2016"
"0005200812";"1510";"Entrepot enregistré";"2.b";Enregistrement;"30000.000";"m3";"03/06/2021"
"0005200812";"2661";"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)";"2.b";Déclaration;"2.360";"t/j";"24/10/2016"
"0005200812";"2565";"Traitement de surface";"2.b";"Déclaration avec contrôle";"1500.000";L;"24/10/2016"
"0005200812";"4422";"Peroxydes organiques type E ou type F";"2";Déclaration;"3.000";t;"24/10/2016"
"0005200812";"2661";"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)";"1.c";Déclaration;"5.671";"t/j";"24/10/2016"
"0005200812";"1434";"Liquides inflammables (remplissage ou distribution) autres que 1435";"1.b";"Déclaration avec contrôle";"19.000";"m3/h";"24/10/2016"
"0005200756";"4735";Ammoniac;"2.b";"Déclaration avec contrôle";;;"11/05/2021"
"0005200756";"4719";"Acétylène (numéro CAS 74-86-2)";"1";Autorisation;;;"11/05/2021"
"0005200756";"4725";"Oxygène (numéro CAS 7782-44-7)";"2";Déclaration;;;"11/05/2021"
"0005200756";"4001";"Installations présentant un grand nombre de substances";;Autorisation;;;"11/05/2021"
"0005208707";"2260";"Supérieure à 100 kW mais inférieure ou égale à 500 kW";"1.b";"Déclaration avec contrôle";"500.0";kW;
"0005208707";"2716";"déchets non dangereux non inertes (transit)";"2";"Déclaration avec contrôle";"900.0";"m3";
"0005208707";"2170";"Engrais et supports de culture (fabrication) à partir de matières organiques";"2";Déclaration;"9.8";"t/j";
"0005208707";"2171";"Dépôts de fumiers, engrais et supports de culture";;Déclaration;"5400.0";"m3";
"0005208707";"1532";"Stockage bois déclaré";"2.b";Déclaration;"10000.0";"m3";
